Area Nm,URL,F_This Month,Weekday,읍면리,Address,Base Date(YYYYMM),Base Month(MM),Base Mt,Base Year,Contentsid,Param Date,Cnt,힐링,감성,자연,체험,커플,가족,액티비티,사진명소,카페투어,맛집탐방,Cnt_norm,힐링_추천점수,감성_추천점수,자연_추천점수,체험_추천점수,커플_추천점수,가족_추천점수,액티비티_추천점수,사진명소_추천점수,카페투어_추천점수,맛집탐방_추천점수,최고추천성향,최고추천점수
 브랭섬홀아시아 아이스링크,,참,THUR,,,2025. 1. 1.,1,1,2025,,2025. 1. 1.,16,0,0,0,0,0,1,0,0,0,0,0.014184397163120567,0.00425531914893617,0.00425531914893617,0.00425531914893617,0.00425531914893617,0.00425531914893617,0.7042553191489361,0.00425531914893617,0.00425531914893617,0.00425531914893617,0.00425531914893617,가족,0.7042553191489361
버블호텔 키즈클럽,,참,THUR,,,2025. 1. 1.,1,1,2025,,2025. 1. 1.,16,0,0,0,0,1,1,0,0,0,0,0.014184397163120567,0.00425531914893617,0.00425531914893617,0.00425531914893617,0.00425531914893617,0.7042553191489361,0.7042553191489361,0.00425531914893617,0.00425531914893617,0.00425531914893617,0.00425531914893617,커플,0.7042553191489361
송당곶자왈,,참,THUR,,,2025. 1. 1.,1,1,2025,,2025. 1. 1.,16,0,0,0,0,0,0,0,0,0,0,0.014184397163120567,0.00425531914893617,0.00425531914893617,0.00425531914893617,0.00425531914893617,0.00425531914893617,0.00425531914893617,0.00425531914893617,0.00425531914893617,0.00425531914893617,0.00425531914893617,힐링,0.00425531914893617
취다선리조트,https://www.visitjeju.net/kr/detail/view?contentsid=CNTS_200000000010336,참,THUR,성산읍,제주특별자치도 서귀포시 성산읍 오조리 398-10,2025. 1. 1.,1,1,2025,CNTS_200000000010336,2025. 1. 1.,16,0,0,0,0,1,1,0,0,0,0,0.014184397163120567,0.00425531914893617,0.00425531914893617,0.00425531914893617,0.00425531914893617,0.7042553191489361,0.7042553191489361,0.00425531914893617,0.00425531914893617,0.00425531914893617,0.00425531914893617,커플,0.7042553191489361
5.16도로숲터널,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500010,참,THUR,남원읍,제주특별자치도 서귀포시 남원읍 신례리 산 2-1,2025. 1. 1.,1,1,2025,CONT_000000000500010,2025. 1. 1.,16,1,0,1,0,0,0,0,0,0,0,0.014184397163120567,0.7042553191489361,0.00425531914893617,0.7042553191489361,0.00425531914893617,0.00425531914893617,0.00425531914893617,0.00425531914893617,0.00425531914893617,0.00425531914893617,0.00425531914893617,힐링,0.7042553191489361
제주올레 10-1코스,https://www.visitjeju.net/kr/detail/view?contentsid=CNTS_000000000019004,참,THUR,대정읍,제주특별자치도 서귀포시 대정읍 가파리 298,2025. 1. 1.,1,1,2025,CNTS_000000000019004,2025. 1. 1.,16,0,0,0,0,0,0,0,0,0,0,0.014184397163120567,0.00425531914893617,0.00425531914893617,0.00425531914893617,0.00425531914893617,0.00425531914893617,0.00425531914893617,0.00425531914893617,0.00425531914893617,0.00425531914893617,0.00425531914893617,힐링,0.00425531914893617
올레여행자센터,https://www.visitjeju.net/kr/detail/view?contentsid=CNTS_000000000019926,참,THUR,서귀동,제주특별자치도 서귀포시 서귀동 316-1,2025. 1. 1.,1,1,2025,CNTS_000000000019926,2025. 1. 1.,16,0,0,0,0,0,0,0,0,0,0,0.014184397163120567,0.00425531914893617,0.00425531914893617,0.00425531914893617,0.00425531914893617,0.00425531914893617,0.00425531914893617,0.00425531914893617,0.00425531914893617,0.00425531914893617,0.00425531914893617,힐링,0.00425531914893617
SM 디지털아트 뮤지엄,https://www.visitjeju.net/kr/detail/view?contentsid=CNTS_200000000009500,참,THUR,애월읍,제주특별자치도 제주시 애월읍 신엄리 2768-7,2025. 1. 1.,1,1,2025,CNTS_200000000009500,2025. 1. 1.,16,0,0,0,0,0,0,0,0,0,0,0.014184397163120567,0.00425531914893617,0.00425531914893617,0.00425531914893617,0.00425531914893617,0.00425531914893617,0.00425531914893617,0.00425531914893617,0.00425531914893617,0.00425531914893617,0.00425531914893617,힐링,0.00425531914893617
런닝맨,,참,THUR,,,2025. 1. 1.,1,1,2025,,2025. 1. 1.,17,0,0,0,0,0,0,0,0,0,0,0.015070921985815602,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,힐링,0.0045212765957446804
사슴공방,,참,THUR,,,2025. 1. 1.,1,1,2025,,2025. 1. 1.,17,0,0,0,1,0,0,0,0,0,0,0.015070921985815602,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,0.7045212765957446,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,체험,0.7045212765957446
해맞이해안로,https://www.visitjeju.net/kr/detail/view?contentsid=CNTS_000000000018371,참,THUR,구좌읍,제주특별자치도 제주시 구좌읍 김녕리,2025. 1. 1.,1,1,2025,CNTS_000000000018371,2025. 1. 1.,17,0,0,1,0,0,0,0,0,0,0,0.015070921985815602,0.0045212765957446804,0.0045212765957446804,0.7045212765957446,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,자연,0.7045212765957446
제주도립김창열미술관,https://www.visitjeju.net/kr/detail/view?contentsid=CNTS_000000000020631,참,THUR,한경면,제주특별자치도 제주시 한경면 저지리 2120-82,2025. 1. 1.,1,1,2025,CNTS_000000000020631,2025. 1. 1.,17,0,0,0,0,0,0,0,0,0,0,0.015070921985815602,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,힐링,0.0045212765957446804
제주난타,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500541,참,THUR,오등동,제주특별자치도 제주시 오등동 10-1,2025. 1. 1.,1,1,2025,CONT_000000000500541,2025. 1. 1.,17,0,0,0,0,0,0,0,0,0,0,0.015070921985815602,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,힐링,0.0045212765957446804
검멀레해변,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500046,참,THUR,우도면,제주특별자치도 제주시 우도면 우도해안길,2025. 1. 1.,1,1,2025,CONT_000000000500046,2025. 1. 1.,17,0,0,1,0,0,0,0,0,0,0,0.015070921985815602,0.0045212765957446804,0.0045212765957446804,0.7045212765957446,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,자연,0.7045212765957446
예래생태체험관,https://www.visitjeju.net/kr/detail/view?contentsid=CNTS_200000000008159,참,THUR,하예동,제주특별자치도 서귀포시 하예동 24-1,2025. 1. 1.,1,1,2025,CNTS_200000000008159,2025. 1. 1.,17,0,0,1,1,0,1,0,0,0,0,0.015070921985815602,0.0045212765957446804,0.0045212765957446804,0.7045212765957446,0.7045212765957446,0.0045212765957446804,0.7045212765957446,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,자연,0.7045212765957446
백조일손지묘(백조일손지지),https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500233,참,THUR,안덕면,제주특별자치도 서귀포시 안덕면 사계리,2025. 1. 1.,1,1,2025,CONT_000000000500233,2025. 1. 1.,17,0,0,0,0,0,0,0,0,0,0,0.015070921985815602,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,힐링,0.0045212765957446804
제주올레 13코스,https://www.visitjeju.net/kr/detail/view?contentsid=CNTS_000000000018727,참,THUR,한경면,제주특별자치도 제주시 한경면 조수리 2137-2,2025. 1. 1.,1,1,2025,CNTS_000000000018727,2025. 1. 1.,17,0,0,0,0,0,0,0,0,0,0,0.015070921985815602,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,힐링,0.0045212765957446804
제주올레 14코스,https://www.visitjeju.net/kr/detail/view?contentsid=CNTS_000000000018728,참,THUR,한림읍,제주특별자치도 제주시 한림읍 월령리 산 9-15,2025. 1. 1.,1,1,2025,CNTS_000000000018728,2025. 1. 1.,17,0,0,0,0,0,0,0,0,0,0,0.015070921985815602,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,힐링,0.0045212765957446804
쌍용굴(한림공원),https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500405,참,THUR,한림읍,제주특별자치도 제주시 한림읍 협재리 2487,2025. 1. 1.,1,1,2025,CONT_000000000500405,2025. 1. 1.,17,1,0,0,0,0,0,0,0,0,0,0.015070921985815602,0.7045212765957446,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,0.0045212765957446804,힐링,0.7045212765957446
유동룡미술관,,참,THUR,,,2025. 1. 1.,1,1,2025,,2025. 1. 1.,18,0,0,0,0,0,0,0,0,0,0,0.015957446808510637,0.004787234042553191,0.004787234042553191,0.004787234042553191,0.004787234042553191,0.004787234042553191,0.004787234042553191,0.004787234042553191,0.004787234042553191,0.004787234042553191,0.004787234042553191,힐링,0.004787234042553191
영등할망 신화공원,https://www.visitjeju.net/kr/detail/view?contentsid=CNTS_200000000012073,참,THUR,한림읍,제주 제주시 한림읍 귀덕11길 19,2025. 1. 1.,1,1,2025,CNTS_200000000012073,2025. 1. 1.,18,1,0,0,0,0,0,0,0,0,0,0.015957446808510637,0.7047872340425532,0.004787234042553191,0.004787234042553191,0.004787234042553191,0.004787234042553191,0.004787234042553191,0.004787234042553191,0.004787234042553191,0.004787234042553191,0.004787234042553191,힐링,0.7047872340425532
서건도,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500316,참,THUR,강정동,제주특별자치도 서귀포시 강정동 산 1,2025. 1. 1.,1,1,2025,CONT_000000000500316,2025. 1. 1.,18,0,0,0,0,0,0,0,0,0,0,0.015957446808510637,0.004787234042553191,0.004787234042553191,0.004787234042553191,0.004787234042553191,0.004787234042553191,0.004787234042553191,0.004787234042553191,0.004787234042553191,0.004787234042553191,0.004787234042553191,힐링,0.004787234042553191
