번호,개방서비스명,소재지전체주소,사업장명,문화체육업종명,음식점카페구분,입력주소,X,Y,행정동코드,행정동명,법정동코드,법정동명
6608,,,모앙,제과점업,카페,제주특별자치도,126.5473913,33.47592197,,아라동,,아라일동
6609,,,제주보리빵,제과점업,카페,제주특별자치도,126.4815768,33.48983767,,노형동,,노형동
6610,,,빵장수단팥빵카페,제과점업,카페,제주특별자치도,126.5802897,33.51749647,,삼양동,,삼양이동
6611,,,빵굽는아저씨,제과점업,카페,제주특별자치도,126.4894314,33.47869111,,연동,,연동
6612,,,1층마카롱,제과점업,카페,제주특별자치도,126.5351842,33.50637776,,일도2동,,일도이동
6613,,,베이크,제과점업,카페,제주특별자치도,126.4307244,33.48751814,,외도동,,외도일동
6614,,,신세계푸드블랑제리제주점,제과점업,카페,제주특별자치도,126.5212333,33.51795948,,삼도2동,,삼도이동
6615,,,빵사계,제과점업,카페,제주특별자치도,126.2875968,33.23830952,,안덕면,,안덕면
6616,,,애월당,제과점업,카페,제주특별자치도,126.4904733,33.50172986,,도두동,,도두이동
6617,,,디저트소소,제과점업,카페,제주특별자치도,126.525936,33.51293969,,일도1동,,일도일동
6618,,,오또도넛,제과점업,카페,제주특별자치도,126.4273771,33.25592443,,중문동,,중문동
6619,,,파리바게뜨동초교점,제과점업,카페,제주특별자치도,126.5335288,33.51328226,,일도2동,,일도이동
6620,,,가야베이커리,제과점업,카페,제주특별자치도,126.5354194,33.49241516,,이도2동,,이도이동
6621,,,뚜레쥬르노형,제과점업,카페,제주특별자치도,126.4775303,33.48742591,,노형동,,노형동
6622,,,일구영사,제과점업,카페,제주특별자치도,126.5492949,33.47531316,,아라동,,아라일동
6623,,,파리바게뜨제주제스코,제과점업,카페,제주특별자치도,126.5291374,33.48020554,,이도2동,,도남동
6624,,,아라찐빵,제과점업,카페,제주특별자치도,126.5400245,33.49179332,,이도2동,,이도이동
6625,,,아베베컴퍼니,제과점업,카페,제주특별자치도,126.528847,33.51264072,,일도1동,,일도일동
6626,,,오롱도롱,제과점업,카페,제주특별자치도,126.8324591,33.32500891,,표선면,,표선면
6627,,,옵써빵집,제과점업,카페,제주특별자치도,126.8325751,33.32516328,,표선면,,표선면
6628,,,승쁨당,제과점업,카페,제주특별자치도,126.5451973,33.50354761,,일도2동,,일도이동
6629,,,오늘_도,제과점업,카페,제주특별자치도,126.589187,33.51377543,,삼양동,,도련이동
6630,,,조남매구움과자,제과점업,카페,제주특별자치도,126.8133693,33.49215199,,구좌읍,,구좌읍
