번호,개방서비스명,소재지전체주소,사업장명,문화체육업종명,X,Y,행정동코드,행정동명,법정동코드,법정동명
389,국내여행업,제주특별자치도 제주시 조천읍 함덕리 274 대명리조트내 지하1층 ,주식회사 소노인터내셔널,국내여행업,126.6717726,33.5412493,5011025900,조천읍,5011025924,조천읍 함덕리
390,국내여행업,제주특별자치도 제주시 도남동 800 ,제주토리,국내여행업,126.5225818,33.4950307,5011054000,이도2동,5011012900,도남동
391,국내여행업,제주특별자치도 제주시 노형동 911-7 3층 302호,(주)투어스쿨,국내여행업,126.4830153,33.4870065,5011066000,노형동,5011012200,노형동
392,국내여행업,제주특별자치도 제주시 삼도일동 797-11 ,(주)키월드투어,국내여행업,126.5180617,33.5083289,5011055000,삼도1동,5011010500,삼도일동
393,국내여행업,제주특별자치도 제주시 연동 301-5 (신대로52) 5층 ,(주)노블여행사,국내여행업,126.4962314,33.4911705,5011065000,연동,5011013700,연동
394,국내여행업,제주특별자치도 제주시 용담일동 2828-1 ,(주)유림항공여행사,국내여행업,126.5144045,33.5006579,5011057000,용담1동,5011010800,용담일동
395,국내여행업,제주특별자치도 제주시 아라일동 6158-18 ,드보라여행사,국내여행업,126.5516041,33.4723562,5011063000,아라동,5011011700,아라일동
396,국내여행업,제주특별자치도 제주시 일도이동 90-14 ,삼다투어,국내여행업,126.5482719,33.5005635,5011052000,일도2동,5011010200,일도이동
397,국내여행업,제주특별자치도 제주시 이호일동 1812-8 시동 103호 ,(주)뉴월드컵관광여행사,국내여행업,126.4474876,33.4972499,5011068000,이호동,5011012500,이호일동
398,국내여행업,제주특별자치도 제주시 노형동 1022-3 ,제주양부장투어,국내여행업,126.4766951,33.4934022,5011066000,노형동,5011012200,노형동
399,국내여행업,제주특별자치도 제주시 노형동 911-7 한중빌딩 지하 102호 ,제주VIP골프투어,국내여행업,126.4830153,33.4870065,5011066000,노형동,5011012200,노형동
400,국내여행업,제주특별자치도 제주시 노형동 906-5 한신오피스텔 ,(주)제주골프투어,국내여행업,126.4846106,33.4886939,5011066000,노형동,5011012200,노형동
401,국내여행업,제주특별자치도 제주시 도남동 1168 ,(주)유한고속관광,국내여행업,126.5214303,33.4817459,5011054000,이도2동,5011012900,도남동
402,국내여행업,제주특별자치도 제주시 노형동 1288-5 노형타워 ,(주)풍성한여행사,국내여행업,126.4783125,33.4858309,5011066000,노형동,5011012200,노형동
403,국내여행업,제주특별자치도 서귀포시 표선면 가시리 3171 ,삼풍(주) 한몽여행사,국내여행업,126.7468773,33.3792562,5013032000,표선면,5013032024,표선면 가시리
404,국내여행업,제주특별자치도 제주시 도두일동 2246-1 ,(주)투어센터,국내여행업,126.4720034,33.4970859,5011069000,도두동,5011012700,도두일동
405,국내여행업,제주특별자치도 제주시 연동 292-93 (은남2로9) 도호빌딩 206호,브이제이투어,국내여행업,126.4947722,33.4890612,5011065000,연동,5011013700,연동
406,국내여행업,제주특별자치도 제주시 연동 314-50 ,제주관광센터,국내여행업,126.4987402,33.485458,5011065000,연동,5011013700,연동
407,국내여행업,제주특별자치도 제주시 연동 324-11 ,(주)제우인터내셔널,국내여행업,126.499811,33.4838842,5011065000,연동,5011013700,연동
408,국내여행업,제주특별자치도 제주시 이도이동 1168-10 ,더좋은제주,국내여행업,126.5340952,33.5027226,5011054000,이도2동,5011010400,이도이동
409,국내여행업,제주특별자치도 제주시 노형동 2611-1 (수덕5로47) 2층 ,(유)제주귀빈여행사,국내여행업,126.4754346,33.485507,5011066000,노형동,5011012200,노형동
410,국내여행업,제주특별자치도 서귀포시 법환동 877 미로월드파크 ,새빛여행사,국내여행업,126.5125902,33.2472733,5013059000,대륜동,5013010200,법환동
411,국내여행업,제주특별자치도 제주시 연동 2324-5 현대오피스텔 713호,(주)명보관광,국내여행업,126.4872628,33.490863,5011065000,연동,5011013700,연동
412,국내여행업,제주특별자치도 제주시 외도이동 324-1 ,경인투어,국내여행업,126.4335023,33.4940627,5011067000,외도동,5011012400,외도이동
413,국내여행업,제주특별자치도 제주시 연동 260-39 연동태홍누리안3차아파트 ,제주신라항공여행사,국내여행업,126.4884374,33.4901471,5011065000,연동,5011013700,연동
414,국내여행업,제주특별자치도 제주시 용담이동 2745-2 ,제주청화여행사,국내여행업,126.5044086,33.5024579,5011058000,용담2동,5011010900,용담이동
415,국내여행업,제주특별자치도 제주시 용담이동 1588-2 ,한라여행사,국내여행업,126.4967913,33.504845,5011058000,용담2동,5011010900,용담이동
416,국내여행업,제주특별자치도 제주시 용담일동 2650-3 ,(주)제주이야기,국내여행업,126.5126126,33.500979,5011057000,용담1동,5011010800,용담일동
417,국내여행업,제주특별자치도 제주시 애월읍 유수암리 2121-1 ,그리미여행사,국내여행업,126.4003035,33.4456579,5011025300,애월읍,5011025342,애월읍 유수암리
418,국내여행업,제주특별자치도 제주시 연동 272-33 ,(유)제주올투어,국내여행업,126.4911226,33.488557,5011065000,연동,5011013700,연동
419,국내여행업,제주특별자치도 제주시 영평동 2231-2 202호,(주)퍼스트항공투어,국내여행업,126.5727762,33.4506573,5011063000,아라동,5011013600,영평동
420,국내여행업,제주특별자치도 제주시 일도이동 330-5 ,해월여행사,국내여행업,126.5387043,33.5095749,5011052000,일도2동,5011010200,일도이동
421,국내여행업,제주특별자치도 제주시 일도이동 46 ,제주항공여행사,국내여행업,126.5459776,33.506487,5011052000,일도2동,5011010200,일도이동
422,국내여행업,제주특별자치도 제주시 도두일동 1742 아모렉스리조트 ,왼손잡이투어,국내여행업,126.4702178,33.5074498,5011069000,도두동,5011012700,도두일동
423,국내여행업,제주특별자치도 제주시 삼도일동 578-14 ,간다여행(주),국내여행업,126.5228257,33.4990456,5011055000,삼도1동,5011010500,삼도일동
424,국내여행업,제주특별자치도 제주시 도남동 696-1 ,주식회사 태신항공여행사,국내여행업,126.5217925,33.4895578,5011054000,이도2동,5011012900,도남동
425,국내여행업,제주특별자치도 제주시 이도이동 1010-1 ,제주펜션여행,국내여행업,126.5311952,33.4972879,5011054000,이도2동,5011010400,이도이동
426,국내여행업,제주특별자치도 제주시 연동 278 ,(주)예진관광여행사,국내여행업,126.4909474,33.4831545,5011065000,연동,5011013700,연동
427,국내여행업,제주특별자치도 제주시 삼도이동 632-6 아이린아파트 ,보화관광,국내여행업,126.5202746,33.5073096,5011056000,삼도2동,5011010600,삼도이동
428,국내여행업,제주특별자치도 제주시 노형동 2535-5 ,제주여행센터,국내여행업,126.4746137,33.483234,5011066000,노형동,5011012200,노형동
429,국내여행업,제주특별자치도 제주시 노형동 1022-3 ,제주도여행친구,국내여행업,126.4766951,33.4934022,5011066000,노형동,5011012200,노형동
430,국내여행업,제주특별자치도 제주시 용담일동 120-1 ,(주)미추홀항공여행사,국내여행업,126.5187649,33.5125386,5011057000,용담1동,5011010800,용담일동
431,국내여행업,제주특별자치도 제주시 노형동 914-4 서림빌딩 ,투데이제주,국내여행업,126.484768,33.486451,5011066000,노형동,5011012200,노형동
432,국내여행업,제주특별자치도 제주시 연동 446 ,(유)글로벌여행사,국내여행업,126.4987566,33.4820142,5011065000,연동,5011013700,연동
433,국내여행업,제주특별자치도 서귀포시 남원읍 신례리 1044-2 신례1리사무소 ,(주)제주생태관광,국내여행업,126.6270765,33.2880536,5013025300,남원읍,5013025329,남원읍 신례리
434,국내여행업,제주특별자치도 제주시 연동 1374 진현빌딩 ,(주)아름다운제주여행,국내여행업,126.4911376,33.4814889,5011065000,연동,5011013700,연동
435,국내여행업,제주특별자치도 제주시 노형동 3692 ,제이제이클럽,국내여행업,126.4624016,33.4826594,5011066000,노형동,5011012200,노형동
436,국내여행업,제주특별자치도 제주시 도두일동 2623-4 도두1동다목적마을복지회관 4층 ,제주도정보사이트,국내여행업,126.4654217,33.5035769,5011069000,도두동,5011012700,도두일동
437,국내여행업,제주특별자치도 제주시 삼도이동 215 ,주식회사 탐모라,국내여행업,126.5235986,33.5086655,5011056000,삼도2동,5011010600,삼도이동
438,국내여행업,제주특별자치도 제주시 용담일동 305-6 ,(주)제주여행사,국내여행업,126.5133182,33.5100662,5011057000,용담1동,5011010800,용담일동
439,국내여행업,제주특별자치도 제주시 도두이동 86 2층 202호,(주)제주이어도투어,국내여행업,126.4906459,33.5023902,5011069000,도두동,5011012800,도두이동
