번호,개방서비스명,소재지전체주소,사업장명,문화체육업종명,X,Y,행정동코드,행정동명,법정동코드,법정동명
853,관광사업자,제주특별자치도 제주시 삼도이동 1197 ,(주)삼광개발제주오리엔탈호텔,관광숙박업,126.5198781,33.5173212,5011056000,삼도2동,5011010600,삼도이동
854,관광사업자,제주특별자치도 제주시 연동 278 - 2 ,제주하와이호텔,관광숙박업,126.4914542,33.4830886,5011065000,연동,5011013700,연동
855,관광사업자,제주특별자치도 제주시 삼도이동 1192 - 18 ,제주팔레스호텔,관광숙박업,126.5237175,33.5168712,5011056000,삼도2동,5011010600,삼도이동
856,관광사업자,제주특별자치도 서귀포시 색달동 2812 - 4 ,(주)두성 파라다이스카지노제주롯데,카지노업,126.410319,33.2486676,5013062000,예래동,5013011900,색달동
857,관광사업자,제주특별자치도 서귀포시 색달동 3039 - 1 ,하얏트리젠시제주,관광숙박업,126.4057669,33.2446694,5013062000,예래동,5013011900,색달동
858,관광사업자,제주특별자치도 서귀포시 색달동 2822 - 5 ,(주)이랜드파크 한국콘도 제주중문,관광숙박업,126.4125762,33.2472629,5013062000,예래동,5013011900,색달동
859,관광사업자,제주특별자치도 제주시 연동 272 - 34 ,(유)형석 로얄호텔,관광숙박업,126.4917035,33.4885641,5011065000,연동,5011013700,연동
860,관광사업자,제주특별자치도 제주시 연동 291 - 30 ,(주)지앤엘 더호텔제주,관광숙박업,126.4939372,33.4900608,5011065000,연동,5011013700,연동
861,관광사업자,제주특별자치도 제주시 연동 291 - 30 ,더호텔,관광숙박업,126.4939372,33.4900608,5011065000,연동,5011013700,연동
862,관광사업자,제주특별자치도 제주시 연동 263 - 15 ,오라관광(주) 제주그랜드호텔,관광숙박업,126.4884998,33.4853155,5011065000,연동,5011013700,연동
863,관광사업자,제주특별자치도 서귀포시 상예동 144 ,(주)대유산업,관광객이용시설업,126.3952709,33.2776674,5013062000,예래동,5013012000,상예동
864,관광사업자,제주특별자치도 제주시 이도일동 1315 ,호텔하니크라운,관광숙박업,126.5277611,33.5050006,5011053000,이도1동,5011010300,이도일동
번호,개방서비스명,소재지전체주소,사업장명,문화체육업종명,123.7417741,32.5220203,,,,
1,관광유람선업,제주특별자치도 제주시 도두일동 2605-8 ,제주요트투어 (주),일반관광유람선업,126.4664643,33.5079173,5011069000,도두동,5011012700,도두일동
2,관광유람선업,제주특별자치도 제주시 도두일동 2635 ,도두항유람선,일반관광유람선업,126.4648925,33.5079519,5011069000,도두동,5011012700,도두일동
3,관광유람선업,제주특별자치도 서귀포시 성산읍 성산리 347-9 ,제주씨월드주식회사,일반관광유람선업,126.9344913,33.4729122,5013025900,성산읍,5013025921,성산읍 성산리
4,관광유람선업,제주특별자치도 서귀포시 대포동 2184-6번지 ,(주)제이엠 그랑블루요트투어,일반관광유람선업,126.4392215,33.2380434,5013061000,중문동,5013011400,대포동
5,관광유람선업,제주특별자치도 서귀포시 안덕면 화순리 636-15 ,(주)그린크루즈,일반관광유람선업,126.3360049,33.2361192,5013031000,안덕면,5013031021,안덕면 화순리
6,관광유람선업,제주특별자치도 제주시 구좌읍 김녕리 4212-1번지 ,(주)김녕요트투어,일반관광유람선업,126.736883,33.5579609,5011025600,구좌읍,5011025634,구좌읍 김녕리
7,관광유람선업,제주특별자치도 서귀포시 색달동 2950-5 ,주식회사 호반호텔앤리조트,일반관광유람선업,126.4158616,33.2453664,,,5013011900,색달동
번호,개방서비스명,소재지전체주소,사업장명,문화체육업종명,123.7417741,32.5220203,,,,
1,국제회의시설업,제주특별자치도 서귀포시 중문동 2700 ,(주)제주국제컨벤션센터,국제회의시설업,126.4242096,33.2411629,5013061000,중문동,5013011200,중문동
번호,개방서비스명,소재지전체주소,사업장명,문화체육업종명,123.7417741,32.5220203,,,,
